idu,p_arene,p_raw,ponderee_au,ecart
97415000EI0230,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97404000AN0053,0.010160427807486633,0.01016,False,4.2780748663213963e-07
97414000EN2654,0.007278472085084773,0.007278,False,4.720850847730537e-07
97409000AY0356,0.006731287022078621,0.006731,False,2.870220786209063e-07
97412000AT0852,0.006731287022078621,0.006731,False,2.870220786209063e-07
97403000AO0176,0.007278472085084773,0.007278,False,4.720850847730537e-07
97406000AP0137,0.041367351994054995,0.041367,False,3.519940549936984e-07
97423000AK1720,0.013878849212086165,0.013879,False,1.5078791383571488e-07
97402000AD0848,0.020465278992478575,0.020465,False,2.78992478574408e-07
97401000AC0007,1e-07,0.0,False,1e-07
97415000CL0317,0.007278472085084773,0.007278,False,4.720850847730537e-07
97416000CS0048,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97422000AZ0152,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97422000BI0096,0.007278472085084773,0.007278,False,4.720850847730537e-07
97422000ED0367,0.013878849212086165,0.013879,False,1.5078791383571488e-07
