feature,bin,effectif,taux_evenement,woe,coef,log_hazard
age_dirigeant_bin,65-74,41185,0.01585528711909676,-0.8239574011351615,1.3851535365623409,-1.1413075081590842
age_dirigeant_bin,75-84,17127,0.010159397442634437,-1.2727453733007859,1.3851535365623409,-1.7629477549709403
age_dirigeant_bin,85+,2580,0.010465116279069767,-1.2274747751903867,1.3851535365623409,-1.7002410258960285
age_dirigeant_bin,<55,54246,0.059138000958596025,0.5367827545432748,1.3851535365623409,0.743526530821292
age_dirigeant_bin,manquant/inconnu,2869358,0.01634233162958404,-0.058195003271292296,1.3851535365623409,-0.08060901459148752
pm_nue_dormante,false,552804,0.022327986049305,-0.014010264024946963,0.6323172808010362,-0.008858932051559045
pm_nue_dormante,true,21658,0.030473727952719548,0.3060743698226893,0.6323172808010362,0.19353611324917364
pm_nue_dormante,manquant/inconnu,2447179,0.01605317796532252,-0.07633882330645,0.6323172808010362,-0.048270357172685234
contagion_voisinage,≤ 0.1667,2710797,0.01547072687478996,-0.11414465044474201,0.504407065431471,-0.05757536816553336
contagion_voisinage,"(0.1667, 0.25]",116724,0.028297522360440013,0.5029291414889967,0.504407065431471,0.2536810123784339
contagion_voisinage,> 0.25,191250,0.03665359477124183,0.7702246524991712,0.504407065431471,0.3885067566900814
contagion_voisinage,manquant/inconnu,2870,0.01289198606271777,-0.2856133668141198,0.504407065431471,-0.14406540020271244
vente_tab_proximite,false,2815899,0.016383755241221366,-0.05562118296687188,0.44699198704580334,-0.024862223096200252
vente_tab_proximite,true,205742,0.029906387611668982,0.5600719441662032,0.44699198704580334,0.2503476712114574
permis_etat,acheve,73602,0.033558870682861876,0.07681116057593035,0.5664345388275943,0.0435084943176394
permis_etat,annule,32749,0.024183944547925128,-0.2600347319765921,0.5664345388275943,-0.14729265348631804
permis_etat,autorise,33301,0.02243175880604186,-0.3370016453501597,0.5664345388275943,-0.1908893715680582
permis_etat,commence,9730,0.06618705035971223,0.7908646841720751,0.5664345388275943,0.4479730726540404
permis_etat,manquant/inconnu,2872259,0.01658450717710346,-0.043238756985343824,0.5664345388275943,-0.024491925372471652
pc_accorde_jamais_commence,false,124504,0.03295476450555805,0.05815114958816714,0.14447092449338694,0.008401150341355744
pc_accorde_jamais_commence,true,24878,0.022107886486051935,-0.351433952663706,0.14447092449338694,-0.05077198803969079
pc_accorde_jamais_commence,manquant/inconnu,2872259,0.01658450717710346,-0.043238756985343824,0.14447092449338694,-0.006246743195617515
